time,ch1,ch2,ch3,button
1409.0,1.28,1.45,1.41,0
1411.0,1.34,1.44,1.42,0
1413.0,1.34,1.2,1.27,0
1415.0,1.25,1.09,0.01,0
1417.0,1.33,1.0,0.01,0
1419.0,1.37,0.91,0.01,0
1420.0,1.38,0.74,0.01,0
1422.0,1.44,0.76,0.01,0
1424.0,1.4,0.83,0.01,0
1426.0,1.26,0.75,0.0,0
1428.0,1.34,0.64,0.0,0
1430.0,1.5,0.59,0.0,0
1432.0,1.43,0.35,0.0,0
1434.0,1.39,0.01,0.0,0
1436.0,1.45,0.0,0.0,0
1438.0,1.43,0.0,0.0,0
1440.0,1.31,0.0,0.0,0
1442.0,1.37,0.04,0.0,0
1444.0,1.27,0.08,0.0,0
1446.0,1.45,0.0,0.0,0
1448.0,1.47,0.0,0.0,0
1451.0,1.28,0.0,0.0,0
1453.0,1.35,0.05,0.0,0
1455.0,1.43,0.18,0.0,0
1457.0,1.27,0.4,0.0,0
1459.0,1.28,0.62,0.0,0
1461.0,1.39,0.86,0.01,0
1462.0,1.35,1.07,0.01,0
1464.0,1.31,1.04,0.04,0
1466.0,1.46,1.05,0.13,0
1468.0,1.42,1.12,0.25,0
1470.0,1.37,1.24,0.31,0
1472.0,1.51,1.56,0.35,0
1474.0,1.38,2.03,0.53,0
1476.0,1.45,2.38,0.64,0
1478.0,1.5,2.65,0.8,0
1480.0,1.51,2.86,0.88,0
1482.0,1.5,2.99,1.06,0
1484.0,1.47,2.95,1.18,0
1486.0,1.46,2.91,1.32,0
1488.0,1.45,2.81,1.41,0
1490.0,1.47,2.91,1.37,0
1492.0,1.38,2.69,1.46,0
1495.0,1.37,2.57,1.66,0
1497.0,1.58,2.47,2.03,0
1499.0,1.49,1.88,2.13,0
1501.0,1.4,2.06,1.96,0
1503.0,1.42,2.39,1.92,0
1505.0,1.57,2.38,2.17,0
1506.0,1.69,2.31,2.34,0
1508.0,1.48,1.75,2.23,0
1510.0,1.43,1.99,2.25,0
1512.0,1.47,2.23,2.35,0
1514.0,1.51,2.37,2.26,0
1516.0,1.49,2.51,2.1,0
