time,ch1,ch2
2097.0,1.76,1.91
2099.0,2.13,1.96
2101.0,3.06,1.96
2102.0,3.3,1.94
2104.0,3.3,1.77
2106.0,3.3,1.88
2108.0,3.3,2.02
2110.0,3.3,2.02
2112.0,3.3,2.11
2114.0,3.3,2.11
2116.0,3.3,2.19
2118.0,3.3,2.19
2120.0,3.3,2.08
2122.0,3.3,2.02
2125.0,3.3,1.96
2127.0,3.3,1.89
2129.0,3.3,1.87
2131.0,3.3,1.88
2133.0,3.3,1.9
2135.0,3.3,1.91
2137.0,3.3,1.89
2139.0,3.3,1.83
2141.0,3.3,1.69
2143.0,3.3,1.55
2145.0,3.3,1.56
2146.0,3.3,1.45
2148.0,3.3,1.38
2150.0,3.3,1.38
2152.0,3.3,1.38
2154.0,3.3,1.3
2156.0,3.3,1.15
2158.0,3.3,1.05
2160.0,3.3,0.93
2162.0,3.3,0.88
2164.0,3.3,0.89
2167.0,3.3,0.94
2169.0,3.3,0.98
2171.0,3.3,0.98
2173.0,3.3,0.88
2175.0,3.3,0.89
2177.0,3.3,0.87
2179.0,3.3,0.96
2181.0,3.3,1.07
2183.0,3.3,0.98
2185.0,3.3,0.83
2187.0,3.3,0.86
2188.0,3.3,0.88
2190.0,3.3,0.92
2192.0,3.3,1.04
2194.0,3.3,0.94
2196.0,3.3,0.93
2198.0,3.3,0.9
2200.0,3.3,0.81
2202.0,3.3,0.68
2204.0,3.3,0.72
2206.0,3.3,0.76
2208.0,3.3,0.8
2211.0,3.3,0.76
2213.0,3.3,0.75
2215.0,3.3,0.83
2217.0,3.3,0.89
2219.0,3.3,0.97
